Hechos_Id,Rol,Sexo,Edad,Rango Etario
2018-0141,PEATON,MASCULINO,75,61+
2018-0142,PASAJERO_ACOMPAÑANTE,MASCULINO,32,26-40
2018-0143,CONDUCTOR,MASCULINO,22,19-25
2019-0001,CONDUCTOR,MASCULINO,25,26-40
2019-0002,CONDUCTOR,MASCULINO,32,26-40
2019-0003,CONDUCTOR,MASCULINO,23,19-25
2019-0004,CONDUCTOR,MASCULINO,71,61+
2019-0005,CONDUCTOR,MASCULINO,43,41-60
2019-0006,PEATON,FEMENINO,12,0-18
2019-0007,CONDUCTOR,MASCULINO,35,26-40
2019-0008,CONDUCTOR,MASCULINO,42,41-60
2019-0009,CONDUCTOR,MASCULINO,34,26-40
2019-0010,PEATON,MASCULINO,63,61+
2019-0010,PEATON,MASCULINO,59,41-60
2019-0011,PEATON,MASCULINO,52,41-60
2019-0012,CONDUCTOR,MASCULINO,31,26-40
2019-0013,PEATON,MASCULINO,39,26-40
2019-0014,CONDUCTOR,MASCULINO,69,61+
2019-0015,CONDUCTOR,MASCULINO,21,19-25
2019-0016,CONDUCTOR,MASCULINO,40,41-60
2019-0017,CONDUCTOR,MASCULINO,22,19-25
2019-0018,PEATON,FEMENINO,29,26-40
2019-0019,CONDUCTOR,MASCULINO,56,41-60
2019-0020,CONDUCTOR,MASCULINO,43,41-60
2019-0021,CONDUCTOR,MASCULINO,23,19-25
2019-0022,PASAJERO_ACOMPAÑANTE,MASCULINO,65,61+
2019-0023,CONDUCTOR,MASCULINO,34,26-40
2019-0024,CONDUCTOR,MASCULINO,32,26-40
2019-0025,PEATON,MASCULINO,27,26-40
2019-0026,PEATON,MASCULINO,4,0-18
2019-0027,CICLISTA,MASCULINO,37,26-40
2019-0028,PEATON,FEMENINO,52,41-60
2019-0029,CONDUCTOR,MASCULINO,27,26-40
2019-0030,CONDUCTOR,MASCULINO,25,26-40
2019-0031,CICLISTA,MASCULINO,20,19-25
2019-0032,PEATON,FEMENINO,83,61+
2019-0033,CONDUCTOR,MASCULINO,25,26-40
2019-0034,CONDUCTOR,MASCULINO,8,0-18
2019-0035,PEATON,FEMENINO,75,61+
2019-0036,CONDUCTOR,MASCULINO,34,26-40
2019-0037,CONDUCTOR,MASCULINO,17,0-18
2019-0038,PEATON,FEMENINO,42,41-60
2019-0105,PEATON,FEMENINO,82,61+
2019-0039,CONDUCTOR,MASCULINO,28,26-40
2019-0040,CONDUCTOR,MASCULINO,44,41-60
2019-0041,PASAJERO_ACOMPAÑANTE,FEMENINO,78,61+
2019-0042,PEATON,MASCULINO,39,26-40
2019-0043,CICLISTA,FEMENINO,22,19-25
2019-0044,PEATON,FEMENINO,77,61+
2019-0045,CONDUCTOR,MASCULINO,33,26-40
2019-0046,PASAJERO_ACOMPAÑANTE,FEMENINO,26,26-40
2019-0047,PEATON,MASCULINO,76,61+
2019-0048,CONDUCTOR,MASCULINO,32,26-40
2019-0049,PEATON,FEMENINO,72,61+
2019-0050,CONDUCTOR,MASCULINO,21,19-25
2019-0051,CONDUCTOR,MASCULINO,41,41-60
2019-0053,PASAJERO_ACOMPAÑANTE,MASCULINO,49,41-60
2019-0054,CONDUCTOR,MASCULINO,21,19-25
2019-0055,CONDUCTOR,MASCULINO,47,41-60
2019-0056,PEATON,FEMENINO,75,61+
2019-0057,PEATON,FEMENINO,63,61+
2019-0058,CONDUCTOR,MASCULINO,39,26-40
2019-0059,CONDUCTOR,MASCULINO,30,26-40
2019-0060,PEATON,FEMENINO,78,61+
2019-0061,PEATON,FEMENINO,58,41-60
2019-0062,PEATON,FEMENINO,60,61+
2019-0063,PASAJERO_ACOMPAÑANTE,MASCULINO,74,61+
2019-0064,CONDUCTOR,MASCULINO,20,19-25
2019-0065,PEATON,FEMENINO,55,41-60
2019-0066,PEATON,MASCULINO,40,41-60
2019-0067,CONDUCTOR,MASCULINO,35,26-40
